cheese,milk,country,family,type,fat_content,texture,rind,color,flavor,aroma,vegetarian,vegan
Lyburn Garlic and Nettle,cow,"England, Great Britain, United Kingdom",Cheddar,"semi-soft, artisan",High,"creamy, open, smooth",washed,pale yellow,"garlicky, herbaceous, pronounced, spicy, strong","aromatic, rich, strong",True,False
Lyburn Lightly Oak Smoked,cow,"England, Great Britain, United Kingdom",Cheddar,"semi-hard, artisan",High,smooth,washed,pale yellow,"smokey , smooth, subtle",smokey,True,False
Macadamia Nut Cheese,goat,United States,Cheddar,"firm, artisan",High,"firm, spreadable",natural,brown,"creamy, nutty, sweet",nutty,True,False
Maffra Aged Rinded Cheddar,cow,Australia,Cheddar,"hard, artisan",High,"buttery, crumbly, firm",cloth wrapped,straw,"earthy, meaty, sweet",grassy,False,False
Maffra Cheshire,cow,Australia,Cheddar,"hard, artisan",High,crumbly,natural,pale yellow,"mellow, salty, sharp, tart","buttery, mild",True,False
Maffra Dargo Walnut,cow,Australia,Cheddar,"semi-hard, artisan",High,"crumbly, dense, firm, flaky",natural,golden yellow,"mild, nutty, sweet","nutty, sweet",False,False
Maffra Mature Cheddar,cow,Australia,Cheddar,"hard, artisan",High,"creamy, crumbly, firm, smooth",waxed,yellow,"acidic, salty, smooth",rich,True,False
Maffra Peppercorn Cheddar,cow,Australia,Cheddar,"semi-hard, artisan",High,"creamy, firm",natural,yellow,"creamy, spicy",spicy,True,False
Maffra Sage Derby,cow,Australia,Cheddar,"semi-hard, artisan",High,"firm, smooth",rindless,pale yellow,"creamy, herbaceous, smooth","herbal, sweet",True,False
Maffra Wensleydale,cow,Australia,Cheddar,"hard, artisan",High,crumbly,natural,pale yellow,"creamy, lemony",fresh,False,False
Mahón,cow,Spain,Cheddar,"semi-hard, artisan",High,"crumbly, dense",washed,pale yellow,"buttery, salty","nutty, sweet",False,False
Maida Vale,cow,England,Cheddar,semi-soft,High,"buttery, soft, supple",washed,pink and white,"grassy, meaty, nutty, savory, umami, vegetal","barnyardy, earthy, grassy, stinky, yeasty",True,False
Maisie's Kebbuck,cow,"Great Britain, Scotland, United Kingdom",Cheddar,"semi-hard, artisan",High,"creamy, crumbly",natural,white,"acidic, herbaceous",fresh,True,False
Mamirolle,cow,"Canada, France",Cheddar,"semi-soft, artisan",High,"chewy, supple",washed,ivory,"buttery, fruity, salty, sweet","earthy, pungent",False,False
Mandolin,cow,Australia,Cheddar,"semi-hard, artisan, smear-ripened",High,"crumbly, soft, supple",leaf wrapped,pale yellow,"creamy, grassy, smooth","grassy, herbal",True,False
Mango Rebel,cow,Austria,Cheddar,"semi-hard, artisan",High,"creamy, firm",natural,pale yellow,"fruity, spicy","fresh, fruity",False,False
Manon,goat,Australia,Cheddar,"fresh soft, artisan",High,"creamy, smooth",leaf wrapped,white,"creamy, garlicky, spicy, strong","aromatic, garlicky, spicy, strong",True,False
Manur,"cow, sheep",Serbia,Cheddar,"hard, artisan",High,creamy,natural,cream,salty,goaty,False,False
Marble Cheddar,cow,United Kingdom,Cheddar,"hard, processed",High,"firm, smooth",rindless,white,creamy,rich,True,False
Marco Polo,cow,United States,Cheddar,"hard, artisan",High,"creamy, crumbly",cloth wrapped,ivory,creamy,"clean, rich",False,False
Maribo,cow,Denmark,Cheddar,"semi-hard, artisan",High,"creamy, firm, open",waxed,pale yellow,tangy,strong,False,False
Martha's Heat,cow,Australia,Cheddar,"hard, artisan",High,"firm, grainy, open",natural,brownish yellow,"smokey , spicy","smokey, spicy",True,False
Mascarpone,cow,Italy,Cheddar,fresh soft,High,"buttery, creamy, smooth, spreadable",rindless,white,"buttery, creamy, mild",fresh,False,False
Mature Wensleydale,cow,"England, United Kingdom",Cheddar,"hard, artisan",High,crumbly,cloth wrapped,pale yellow,strong,"rich, ripe",False,False
Melville,goat,United States,Cheddar,"fresh soft, artisan, soft-ripened",High,"elastic, oily, soft, supple",natural,white,"acidic, buttery, mild, sweet, tart",fresh,False,False
Menallack Farmhouse,cow,England,Cheddar,hard,High,"runny, smooth",natural,ivory,"sour, tangy","buttery, fresh",True,False
Menonita,cow,Mexico,Cheddar,semi-soft,High,firm,natural,pale yellow,"buttery, mild",strong,False,False
Merry Wyfe,cow,United Kingdom,Cheddar,semi-hard,High,"creamy, springy",washed,orange,"earthy, mushroomy",aromatic,True,False
Mersey Valley Original Vintage,cow,Australia,Cheddar,hard,High,"creamy, crumbly, spreadable",natural,yellow,"buttery, full-flavored, sharp",strong,True,False
Mettowee,goat,United States,Cheddar,"fresh soft, artisan",High,"creamy, smooth",natural,white,"acidic, creamy, tangy, tart","clean, fresh, subtle",True,False
MezzaLuna Fontina,cow,United States,Cheddar,semi-hard,High,creamy,washed,yellow,"earthy, mild, mushroomy, yeasty",rich,False,False
Mi-Ewe,"cow, sheep",United States,Cheddar,"semi-hard, artisan",High,crumbly,natural,pale yellow,"buttery, citrusy, nutty, sharp","caramel, rich",True,False
Mimolette (Boule de Lille),cow,France,Cheddar,semi-hard,High,firm,natural,orange,"bitter, buttery, sweet","fresh, mild, milky, pleasant",False,False
Minas cheese,cow,Brazil,Cheddar,"semi-soft, artisan",High,"grainy, open, soft, springy",rindless,white,"bitter, mild, salty, strong",aromatic,False,False
Mladi Trapist,cow,Croatia,Cheddar,"semi-hard, artisan",High,"crumbly, semi firm",natural,white,"grassy, savory",aromatic,True,False
Molbo,cow,Denmark,Cheddar,"semi-hard, artisan",High,firm,waxed,pale yellow,"salty, tangy",fresh,False,False
Montasio,cow,Italy,Cheddar,semi-firm,High,creamy,natural,yellow,"mild, smooth","aromatic, pleasant",False,False
Monteo,cow,Italy,Cheddar,"semi-firm, artisan",High,"creamy, open",natural,pale yellow,"buttery, milky, smooth","fresh, milky",False,False
Montgomery's Cheddar,cow,United Kingdom,Cheddar,"hard, artisan",High,creamy,natural,yellow,full-flavored,rich,False,False
Morgan,cow,United States,Cheddar,"hard, artisan",High,firm,natural,ivory,"citrusy, salty",grassy,False,False
Morimoto Soba Ale Cheddar,cow,United States,Cheddar,"semi-hard, artisan",High,"creamy, crumbly",natural,pale yellow,"buttery, smooth, strong","strong, toasty",True,False
Mossfield Organic,cow,Ireland,Cheddar,"hard, semi-hard, artisan",High,"crumbly, dry, flaky",natural,brownish yellow,"nutty, tangy","fresh, lactic, mild",True,False
Mountain Goat,goat,Australia,Cheddar,"hard, artisan",High,firm,natural,ivory,"creamy, sharp",subtle,True,False
Mountain Herbs Rebel,cow,Austria,Cheddar,"semi-hard, artisan",High,"creamy, smooth",natural,pale yellow,"creamy, nutty, spicy","aromatic, grassy, sweet",True,False
Mountain Rebel,cow,Austria,Cheddar,"semi-hard, artisan",High,"compact, creamy",natural,yellow,"creamy, fruity","aromatic, spicy",True,False
Mountaineer,cow,United States,Cheddar,"semi-soft, artisan",High,"dense, supple",washed,yellow,"full-flavored, mellow","caramel, fruity, rich",False,False
Mouse House Garlic & Chive Cheddar,cow,England,Cheddar,semi-hard,High,creamy,waxed,green,garlicky,garlicky,True,False
Mouse House Smoked Cheddar,cow,England,Cheddar,semi-hard,High,creamy,waxed,golden yellow,smokey,smokey,True,False
Ms. Natural,goat,United States,Cheddar,fresh soft,High,"creamy, crumbly, smooth, spreadable",rindless,white,"citrusy, creamy","fresh, mild",True,False
Mt Scott,cow,New Zealand,Cheddar,semi-soft,High,"smooth, supple",natural,yellow,"buttery, sharp, sweet",aromatic,True,False
Mt. Mazama Cheddar,"cow, goat",United States,Cheddar,semi-hard,High,"creamy, crumbly, crystalline, dense",natural,pale yellow,"acidic, caramel, nutty, sweet, tangy","pleasant, rich",True,False
Muddlewell,"cow, sheep",England,Cheddar,"hard, artisan",High,"creamy, crumbly",natural,ivory,mild,strong,True,False
Munster,cow,France,Cheddar,soft,High,smooth,washed,cream,"savory, spicy, sweet",aromatic,False,False
Pacific Rock,cow,Canada,Cheddar,hard,High,"crumbly, firm",washed,orange,"buttery, earthy, nutty, subtle","fruity, rich",True,False
Paesanella Buffalo Ricotta,buffalo,Australia,Cheddar,"fresh soft, whey",High,"creamy, soft",rindless,white,creamy,"milky, sweet",False,False
Paesanella Dry Ricotta,cow,Australia,Cheddar,"soft, whey",High,firm,natural,white,"creamy, salty",sweet,False,False
Paesanella Fresco,cow,Australia,Cheddar,"semi-hard, artisan",High,"chewy, firm",rindless,pale yellow,"mild, tangy",mild,True,False
Paesanella Fresh Ricotta,cow,Australia,Cheddar,fresh soft,High,firm,rindless,white,creamy,"fresh, sweet",False,False
Pant ys Gawn,goat,Wales,Cheddar,fresh soft,High,creamy,rindless,white,"lemony, salty",fresh,True,False
Paprika Rebel,cow,Austria,Cheddar,"semi-hard, artisan",High,creamy,natural,pale yellow,"smokey , spicy","smokey, spicy",True,False
Pas de l'Escalette,cow,France,Cheddar,"semi-hard, artisan",High,creamy,natural,straw,sweet,fresh,False,False
Pate de Fromage,"goat, sheep",France,Cheddar,soft,High,soft,natural,ivory,"bitter, buttery, mild, milky, salty",lactic,False,False
Patefine Fort,cow,France,Cheddar,"soft, artisan",High,smooth,natural,white,sour,fresh,False,False
Peau Rouge,cow,Canada,Cheddar,hard,High,"crumbly, firm",washed,pale yellow,"caramel, nutty, woody",strong,False,False
Pembrokeshire Extra Mature Cheddar,cow,United Kingdom,Cheddar,"semi-soft, artisan",High,"crumbly, dense",washed,yellow,"strong, tangy",rich,False,False
Pepper Rebel,cow,Austria,Cheddar,"semi-hard, artisan",High,creamy,natural,yellow,"creamy, spicy","grassy, spicy, sweet",False,False
Perl Wen,cow,"United Kingdom, Wales",Cheddar,semi-soft,High,"creamy, smooth, soft",bloomy,white,citrusy,"nutty, strong",True,False
Petit Blaja,goat,France,Cheddar,soft,High,soft,natural,golden yellow,creamy,"aromatic, floral, fruity",True,False
Petit Pardou,cow,France,Cheddar,semi-hard,High,creamy,natural,straw,"buttery, mushroomy, nutty, pronounced",aromatic,False,False
Petite Swiss,cow,United States,Cheddar,semi-hard,High,compact,natural,pale yellow,"mild, nutty, sweet","fresh, fruity",True,False
Picodon de Chevre,goat,France,Cheddar,"soft, artisan",High,"firm, smooth",natural,white,"sour, sweet","goaty, pungent",True,False
Pinconning,cow,United States,Cheddar,semi-hard,High,"creamy, open",natural,yellow,"mild, sharp",aromatic,False,False
Piora,cow,Switzerland,Cheddar,hard,High,"creamy, soft",rindless,white,"creamy, mild","aromatic, rich",False,False
Pistol Point Cheddar,cow,United States,Cheddar,"semi-hard, artisan",High,"creamy, crumbly",natural,pale yellow,"smokey , spicy",earthy,True,False
Pitchfork Cheddar,cow,England,Cheddar,hard,High,"compact, creamy, firm",cloth wrapped,pale yellow,"acidic, fruity, grassy, nutty, tangy","buttery, fruity, grassy, nutty, subtle",False,False
Plymouth Cheese,cow,United States,Cheddar,"hard, artisan",High,"firm, flaky, grainy",waxed,yellow,"buttery, fruity, full-flavored, nutty, smokey , spicy, tangy","rich, smokey, strong",False,False
Poivre d'Ane,"cow, goat",France,Cheddar,"soft, artisan",High,smooth,natural,white,herbaceous,herbal,True,False
Pokolbin,cow,Australia,Cheddar,"semi-soft, smear-ripened",High,"elastic, stringy",washed,pale yellow,"sharp, spicy","aromatic, fresh",False,False
Pong's Extraordinary... Cheddar,cow,United Kingdom,Cheddar,"hard, semi-hard",High,"creamy, crumbly",natural,yellow,full-flavored,"rich, smokey, strong",False,False
Port-Salut,cow,France,Cheddar,semi-soft,High,"creamy, smooth",washed,pale yellow,"acidic, mellow",mild,False,False
Postel,cow,Belgium,Cheddar,semi-hard,High,"creamy, runny, smooth, soft",washed,white,"savory, sharp",sweet,False,False
Prairie Breeze Cheddar,cow,United States,Cheddar,"hard, artisan",High,"creamy, crumbly, grainy",natural,yellow,"nutty, sharp, sweet","grassy, mild",True,False
Prastost,cow,Sweden,Cheddar,semi-soft,High,creamy,rindless,yellow,"salty, spicy, strong","aromatic, rich",False,False
President Madrigal,cow,France,Cheddar,"semi-hard, artisan",High,"smooth, soft",natural,straw,"nutty, sweet",grassy,False,False
Prince-Jean,cow,Belgium,Cheddar,"fresh soft, artisan",High,creamy,natural,white,buttery,"fresh, rich",False,False
Promontory,cow,United States,Cheddar,"hard, artisan",High,"creamy, firm",natural,pale yellow,"buttery, citrusy","fruity, rich",True,False
Provolone,cow,Italy,Cheddar,"semi-hard, artisan",High,firm,rindless,pale yellow,tangy,pleasant,True,False
PsycheDillic,goat,United States,Cheddar,fresh soft,High,"creamy, smooth, spreadable",rindless,white,"creamy, full-flavored, herbaceous",aromatic,True,False
Purple Haze,goat,United States,Cheddar,fresh soft,High,"creamy, crumbly, smooth, spreadable",rindless,white,"earthy, herbaceous",aromatic,True,False
Purple's a Must,"cow, goat","Canada, Italy",Cheddar,"semi-hard, artisan, blue-veined",High,"creamy, crumbly",mold ripened,pale yellow,"full-flavored, strong",rich,False,False
Pyengana Cheddar,cow,Australia,Cheddar,"hard, semi-hard, artisan",High,"creamy, crumbly, smooth",natural,pale yellow,"acidic, full-flavored, herbaceous, savory, spicy","grassy, herbal",False,False
Saaland Pfarr,cow,Sweden,Cheddar,semi-soft,High,creamy,rindless,yellow,"salty, spicy, strong","aromatic, rich",False,False
Sage Derby,cow,"England, United Kingdom",Cheddar,"semi-hard, artisan",High,firm,leaf wrapped,green,"herbaceous, mild",herbal,True,False
Salers,cow,France,Cheddar,semi-hard,High,"creamy, semi firm, soft",rindless,red,"fruity, spicy",earthy,False,False
Salsa Asiago,cow,United States,Cheddar,"hard, artisan",High,"compact, firm, open, smooth",natural,pale yellow,"creamy, garlicky, nutty, sharp, spicy","aromatic, nutty, pungent",True,False
Samso,cow,Denmark,Cheddar,semi-hard,High,supple,waxed,yellow,"nutty, sour, sweet","clean, fresh",False,False
Sap Sago,cow,Switzerland,Cheddar,hard,High,dry,natural,green,"salty, sharp, sour, strong",herbal,True,False
Sartori Limited Edition Cannella BellaVitano,cow,United States,Cheddar,hard,High,creamy,rindless,pale yellow,"buttery, fruity, mild, sweet","fresh, rich",True,False
Sartori Limited Edition Cognac BellaVitano,cow,United States,Cheddar,hard,High,creamy,natural,white,"buttery, mild, smokey , sweet","nutty, smokey",True,False
Sartori Limited Edition Extra-Aged Goat,goat,United States,Cheddar,"semi-firm, artisan",High,creamy,plastic,white,"mild, savory","mild, pleasant",False,False
Sartori Limited Edition Pastorale Blend,"cow, sheep",United States,Cheddar,"semi-hard, artisan",High,creamy,natural,pale yellow,"nutty, sweet","earthy, nutty, sweet",True,False
Sartori Reserve Balsamic BellaVitano,cow,United States,Cheddar,hard,High,firm,bloomy,white,"fruity, nutty, sweet, tangy","earthy, fruity, sweet",True,False
Sartori Reserve Basil & Olive Oil Asiago,cow,United States,Cheddar,"hard, artisan",High,"creamy, smooth",natural,pale yellow,"herbaceous, savory, sweet","herbal, rich",False,False
Sartori Reserve BellaVitano Gold,cow,United States,Cheddar,hard,High,creamy,natural,pale yellow,"fruity, nutty, sweet","fruity, nutty, rich",True,False
Sartori Reserve Black Pepper BellaVitano,cow,United States,Cheddar,semi-hard,High,creamy,natural,pale yellow,"creamy, nutty, salty, spicy","nutty, rich, spicy",False,False
Sartori Reserve Espresso BellaVitano,cow,United States,Cheddar,"semi-firm, artisan",High,firm,natural,pale yellow,"smokey , sweet","smokey, sweet",True,False
Sartori Reserve Extra Aged Fontina,cow,United States,Cheddar,"hard, artisan",High,creamy,natural,yellow,"buttery, fruity, mild, tangy","lactic, rich",True,False
Sartori Reserve Extra-Aged Asiago,cow,United States,Cheddar,"hard, artisan",High,"creamy, crumbly",mold ripened,pale yellow,"creamy, nutty",rich,False,False
Sartori Reserve Merlot BellaVitano,cow,United States,Cheddar,"semi-hard, artisan",High,"creamy, crystalline",natural,pale yellow,"creamy, fruity","fruity, pleasant, rich",False,False
Sartori Reserve Raspberry BellaVitano,cow,United States,Cheddar,"hard, artisan",High,creamy,natural,pale yellow,"buttery, creamy, fruity, nutty, sweet","fruity, nutty, rich",True,False
Sartori Reserve Rosemary & Olive Oil Asiago,cow,United States,Cheddar,"hard, artisan",High,"creamy, smooth",rindless,pale yellow,"fruity, nutty","fruity, nutty, rich",True,False
Sbrinz,cow,Switzerland,Cheddar,"hard, artisan",High,"dense, flaky",natural,yellow,"butterscotch, full-flavored, nutty, spicy, strong","aromatic, spicy",False,False
Scotch Bonnet Cheddar,cow,United Kingdom,Cheddar,"hard, processed",High,creamy,plastic,pale yellow,"creamy, spicy, strong",fresh,False,False
Seahive,cow,United States,Cheddar,"hard, artisan",High,"dry, firm",natural,pale yellow,"salty, sweet",floral,True,False
Seascape,"cow, goat",United States,Cheddar,"semi-hard, artisan",High,"crumbly, smooth",natural,pale yellow,"buttery, caramel, tangy",pleasant,True,False
Seriously Strong Cheddar,cow,"England, Scotland, United Kingdom",Cheddar,hard,High,"crumbly, dense, firm, flaky",natural,yellow,"full-flavored, savory, smokey , spicy, tangy","rich, smokey, strong",False,False
Sharon Hollow Garlic and Chive,cow,United States,Cheddar,"fresh soft, artisan",High,flaky,rindless,ivory,"garlicky, milky","fresh, garlicky",True,False
Sharp Cheddar,cow,United States,Cheddar,"semi-hard, artisan",High,creamy,natural,white,"sharp, strong, tangy","goaty, grassy, herbal",False,False
Sharpham Rustic,cow,"England, Great Britain, United Kingdom",Cheddar,"semi-hard, artisan",High,creamy,natural,white,"lemony, nutty",fresh,True,False
Sharpham Rustic Chive & Garlic,cow,"England, Great Britain, United Kingdom",Cheddar,"semi-hard, artisan",High,creamy,natural,white,"creamy, garlicky, savory","garlicky, nutty, strong",True,False
Shelburne Cheddar,cow,United States,Cheddar,"hard, artisan",High,firm,rindless,pale yellow,strong,rich,True,False
Ships Wheel Brie,cow,Australia,Cheddar,artisan,High,creamy,bloomy,white,"mild, nutty","mild, nutty",True,False
Shorrock's Lancashire Bomb,cow,United Kingdom,Cheddar,semi-hard,High,"creamy, crumbly",bloomy,yellow,"creamy, savory, sharp, spicy",goaty,True,False
